atclaatst_naam_tekst#gesl#atclaatst#uitgiftes#DDD#vergoeding#gebruikers#DDD_per_uitgifte#vergoeding_per_uitgifte#vergoeding_per_gebruiker#vergoeding_per_DDD#DDD_per_gebruiker#uitgifte_per_gebruiker#lftkls
Natriumfluoride #M #A01AA01 #3 #. #7 #3 #. #2,09 #2,06 #. #. #0,99 #0-4
Natriumfluoride #M #A01AA01 #109 #. #644 #94 #. #5,92 #6,82 #. #. #1,15 #5-14
Natriumfluoride #M #A01AA01 #1007 #. #6809 #766 #. #6,76 #8,89 #. #. #1,31 #15-24
Natriumfluoride #M #A01AA01 #2019 #. #13653 #1407 #. #6,76 #9,70 #. #. #1,43 #25-44
Natriumfluoride #M #A01AA01 #4290 #. #30410 #2491 #. #7,09 #12,21 #. #. #1,72 #45-64
Natriumfluoride #M #A01AA01 #3872 #. #28561 #2140 #. #7,38 #13,35 #. #. #1,81 #65-74
Natriumfluoride #M #A01AA01 #4469 #. #31785 #2474 #. #7,11 #12,85 #. #. #1,81 #75 +
Natriumfluoride #V #A01AA01 #1 #. #7 #1 #. #6,70 #6,70 #. #. #1,00 #0-4
Natriumfluoride #V #A01AA01 #108 #. #657 #84 #. #6,07 #7,80 #. #. #1,29 #5-14
Natriumfluoride #V #A01AA01 #1209 #. #7499 #865 #. #6,20 #8,67 #. #. #1,40 #15-24
Natriumfluoride #V #A01AA01 #3268 #. #23078 #2185 #. #7,06 #10,56 #. #. #1,50 #25-44
Natriumfluoride #V #A01AA01 #5264 #. #36441 #3116 #. #6,92 #11,70 #. #. #1,69 #45-64
Natriumfluoride #V #A01AA01 #3434 #. #25101 #1942 #. #7,31 #12,93 #. #. #1,77 #65-74
Natriumfluoride #V #A01AA01 #4868 #. #31866 #2703 #. #6,55 #11,79 #. #. #1,80 #75 +
Olaflur #M #A01AA03 #16 #. #61 #16 #. #3,81 #3,80 #. #. #1,00 #0-4
Olaflur #M #A01AA03 #554 #. #2126 #537 #. #3,84 #3,96 #. #. #1,03 #5-14
Olaflur #M #A01AA03 #496 #. #1814 #478 #. #3,66 #3,79 #. #. #1,04 #15-24
Olaflur #M #A01AA03 #816 #. #2972 #769 #. #3,64 #3,86 #. #. #1,06 #25-44
Olaflur #M #A01AA03 #1149 #. #4328 #1064 #. #3,77 #4,07 #. #. #1,08 #45-64
Olaflur #M #A01AA03 #794 #. #3237 #704 #. #4,08 #4,60 #. #. #1,13 #65-74
Olaflur #M #A01AA03 #712 #. #2814 #610 #. #3,95 #4,61 #. #. #1,17 #75 +
Olaflur #V #A01AA03 #8 #. #45 #8 #. #5,56 #5,56 #. #. #1,00 #0-4
Olaflur #V #A01AA03 #532 #. #1991 #518 #. #3,74 #3,85 #. #. #1,03 #5-14
Olaflur #V #A01AA03 #651 #. #2460 #635 #. #3,78 #3,87 #. #. #1,03 #15-24
Olaflur #V #A01AA03 #1306 #. #4954 #1221 #. #3,79 #4,06 #. #. #1,07 #25-44
Olaflur #V #A01AA03 #1587 #. #5976 #1442 #. #3,77 #4,14 #. #. #1,10 #45-64
Olaflur #V #A01AA03 #877 #. #3363 #767 #. #3,84 #4,39 #. #. #1,14 #65-74
Olaflur #V #A01AA03 #749 #. #2763 #646 #. #3,69 #4,28 #. #. #1,16 #75 +
Natriumfluoride  combinatiepreparaten #M #A01AA51 #1 #. #14 #1 #. #13,03 #13,03 #. #. #1,00 #65-74
Tetracycline #M #A01AB13 #13 #. #362 #11 #. #27,70 #32,73 #. #. #1,18 #5-14
Tetracycline #M #A01AB13 #16 #. #454 #16 #. #27,57 #27,55 #. #. #1,00 #15-24
Tetracycline #M #A01AB13 #53 #. #1426 #48 #. #26,96 #29,78 #. #. #1,10 #25-44
Tetracycline #M #A01AB13 #70 #. #2122 #53 #. #30,41 #40,39 #. #. #1,33 #45-64
Tetracycline #M #A01AB13 #24 #. #680 #21 #. #27,84 #31,79 #. #. #1,14 #65-74
Tetracycline #M #A01AB13 #25 #. #666 #21 #. #27,01 #32,46 #. #. #1,20 #75 +
Tetracycline #V #A01AB13 #12 #. #344 #11 #. #28,67 #31,28 #. #. #1,09 #5-14
Tetracycline #V #A01AB13 #28 #. #779 #26 #. #28,19 #30,44 #. #. #1,08 #15-24
Tetracycline #V #A01AB13 #77 #. #2226 #68 #. #28,90 #32,75 #. #. #1,13 #25-44
Tetracycline #V #A01AB13 #94 #. #2792 #80 #. #29,77 #35,10 #. #. #1,18 #45-64
Tetracycline #V #A01AB13 #65 #. #2113 #45 #. #32,69 #46,51 #. #. #1,42 #65-74
Tetracycline #V #A01AB13 #62 #. #1759 #34 #. #28,33 #52,39 #. #. #1,85 #75 +
Triamcinolon #M #A01AC01 #6 #181 #121 #6 #30,00 #19,94 #19,95 #0,66 #30,02 #1,00 #0-4
Triamcinolon #M #A01AC01 #57 #1850 #1183 #45 #32,52 #20,77 #26,42 #0,64 #41,36 #1,27 #5-14
Triamcinolon #M #A01AC01 #96 #3020 #1956 #86 #31,59 #20,47 #22,64 #0,65 #34,94 #1,11 #15-24
Triamcinolon #M #A01AC01 #303 #9650 #6130 #243 #31,88 #20,24 #25,23 #0,63 #39,74 #1,25 #25-44
Triamcinolon #M #A01AC01 #442 #14550 #9300 #332 #32,89 #21,03 #28,01 #0,64 #43,82 #1,33 #45-64
Triamcinolon #M #A01AC01 #277 #8950 #5760 #215 #32,28 #20,78 #26,82 #0,64 #41,66 #1,29 #65-74
Triamcinolon #M #A01AC01 #196 #6190 #3981 #153 #31,60 #20,33 #25,96 #0,64 #40,35 #1,28 #75 +
Triamcinolon #V #A01AC01 #11 #332 #231 #10 #30,00 #20,87 #22,97 #0,70 #33,02 #1,10 #0-4
Triamcinolon #V #A01AC01 #46 #1600 #1039 #33 #34,79 #22,59 #31,60 #0,65 #48,67 #1,40 #5-14
Triamcinolon #V #A01AC01 #159 #4770 #3021 #147 #29,93 #18,95 #20,52 #0,63 #32,41 #1,08 #15-24
Triamcinolon #V #A01AC01 #501 #15770 #10181 #439 #31,47 #20,31 #23,17 #0,65 #35,89 #1,14 #25-44
Triamcinolon #V #A01AC01 #1098 #35790 #22827 #824 #32,60 #20,79 #27,70 #0,64 #43,43 #1,33 #45-64
Triamcinolon #V #A01AC01 #835 #28970 #18663 #565 #34,68 #22,34 #33,04 #0,64 #51,29 #1,48 #65-74
Triamcinolon #V #A01AC01 #723 #23700 #14950 #454 #32,78 #20,68 #32,94 #0,63 #52,22 #1,59 #75 +
Dexamethason #M #A01AC02 #1 #. #48 #1 #. #47,89 #47,89 #. #. #1,00 #5-14
Dexamethason #M #A01AC02 #5 #. #245 #4 #. #47,57 #59,52 #. #. #1,25 #15-24
Dexamethason #M #A01AC02 #37 #. #2353 #21 #. #62,81 #110,10 #. #. #1,75 #25-44
Dexamethason #M #A01AC02 #194 #. #12333 #80 #. #63,43 #153,80 #. #. #2,43 #45-64
Dexamethason #M #A01AC02 #138 #. #11909 #41 #. #86,54 #289,40 #. #. #3,34 #65-74
Dexamethason #M #A01AC02 #73 #. #4177 #27 #. #57,20 #152,40 #. #. #2,66 #75 +
Dexamethason #V #A01AC02 #5 #. #232 #2 #. #46,50 #116,20 #. #. #2,50 #5-14
Dexamethason #V #A01AC02 #26 #. #1178 #9 #. #44,71 #129,00 #. #. #2,88 #15-24
Dexamethason #V #A01AC02 #115 #. #7769 #52 #. #67,36 #150,60 #. #. #2,24 #25-44
Dexamethason #V #A01AC02 #430 #. #31133 #217 #. #72,38 #143,30 #. #. #1,98 #45-64
Dexamethason #V #A01AC02 #268 #. #20289 #111 #. #75,77 #182,10 #. #. #2,40 #65-74
Dexamethason #V #A01AC02 #179 #. #14287 #75 #. #80,01 #191,10 #. #. #2,39 #75 +
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #5 #150 #186 #1 #30,00 #37,28 #186,40 #1,24 #150,00 #5,00 #0-4
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #15 #322 #814 #13 #21,07 #53,19 #61,22 #2,52 #24,25 #1,15 #5-14
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #52 #713 #2951 #33 #13,79 #57,07 #90,71 #4,14 #21,91 #1,59 #15-24
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #324 #2730 #20032 #177 #8,44 #61,85 #112,90 #7,32 #15,41 #1,83 #25-44
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #844 #8740 #54843 #377 #10,36 #64,98 #145,60 #6,27 #23,22 #2,24 #45-64
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #606 #5420 #38780 #245 #8,95 #64,03 #158,40 #7,16 #22,13 #2,47 #65-74
Corticosteroiden voor lokaal gebruik in de mond #M #A01AC__ #416 #4820 #25385 #158 #11,58 #61,03 #160,70 #5,27 #30,50 #2,63 #75 +
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #1 #32 #34 #1 #30,00 #32,84 #32,84 #1,09 #30,00 #1,00 #0-4
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #10 #210 #476 #6 #21,00 #47,59 #79,31 #2,27 #35,00 #1,67 #5-14
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #115 #1210 #6919 #75 #10,52 #60,29 #92,30 #5,73 #16,11 #1,53 #15-24
